exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,logPerm
195.081477128,195.693,1.0,0.0,0.0,0.0,1.0,13.0,27.0,2.0,0.0,0.45454545454545453,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84.31338243503582,3.24,2.370400000000001,56.357000000000035,8.641584946842709,5.097739554090316,3.0763685186535303,3.0763685186535303,2.1318879089092753,7.8856560008242536,4.719775081081088,2.7222586217752682,2.7222586217752682,1.8432877108745336,-0.53,9.041866651896015,3.68572552572852,1.8673993216553098,2.563526055317432,6.565264970035361
191.051718288,191.259,3.0,1.0,0.0,1.0,4.0,13.0,22.0,4.0,0.0,0.3333333333333333,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,79.94112781415544,37.81,1.337,52.82570000000001,7.8951929443304,5.158598955846995,3.1850681768721416,3.1850681768721416,2.4028749702636136,7.078696363402674,4.385202293713021,2.4956405834086755,2.4956405834086755,1.8130427338017479,-1.0,7.408163265306122,2.75,1.0594530321046374,1.567111459968603,6.672032945461067
272.1194635,272.37,5.0,3.0,6.0,3.0,4.0,18.0,38.0,6.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,108.2757898177038,78.42999999999999,1.0895,73.00700000000003,11.659663444143577,7.660535890506479,2.9246452560547476,2.9246452560547476,2.0168048928912437,10.84316686321585,5.769124352448223,2.3181521837606334,2.3181521837606334,1.4525697792778982,-1.11,14.94920663114269,6.1727827627007485,5.482865645542789,5.1265669449316285,1.9459101490553128
342.11621152399994,342.297,11.0,8.0,5.0,8.0,11.0,23.0,45.0,11.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,9.0,9.0,130.43645768522256,189.52999999999997,-5.395599999999995,68.64140000000003,12.042576132467905,7.049460184948061,4.070325339078977,4.070325339078977,2.6313159666862105,12.042576132467905,7.049460184948061,4.070325339078977,4.070325339078977,2.6313159666862105,-0.43999999999999995,18.89235232228663,7.207281294562587,3.2268020699807716,5.92010858707402,3.7612001156935615
214.04121318,214.246,5.0,3.0,2.0,2.0,4.0,14.0,24.0,6.0,1.0,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.97333822136979,89.26,0.09360000000000002,51.85690000000002,8.336241088731308,5.2889113562642525,2.917448212874901,2.917448212874901,1.8857997463396712,7.519744507803583,3.80574810866986,1.4684940281958299,1.4684940281958299,0.8951240792505072,-1.5599999999999998,10.520385852090032,3.6669516894800975,2.461795458009449,2.7555533338788614,2.9444389791664403
172.030648496,172.20899999999997,4.0,4.0,1.0,2.0,3.0,11.0,19.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.87196040593747,86.18,-0.08379999999999999,42.2276,6.505343067457071,4.429521556523074,2.1378637859736447,2.1378637859736447,1.1729459846667052,5.688846486529345,2.883202078601512,1.2086325525620767,1.2086325525620767,0.6575061586928511,-1.07,8.030704934541792,2.5192903206703843,1.9239700742334507,1.8392433827046388,1.6094379124341005
197.025897464,197.21899999999997,5.0,3.0,1.0,2.0,3.0,13.0,20.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.64254264262078,88.84,0.21029999999999988,47.46690000000001,7.375206393767403,5.094043081571926,2.3694950677005546,2.3694950677005546,1.5419448795514146,6.558709812839677,3.547723603650365,1.6371476514637044,1.6371476514637044,1.0641409786646379,-1.4,8.209725371630133,2.5429404414827146,1.407598391266877,1.605910973921921,3.4011973816621555
204.996427176,205.666,3.0,1.0,2.0,1.0,2.0,12.0,20.0,5.0,0.0,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.41024953679835,46.17,1.2481,47.69750000000002,7.984535948105502,5.11305878595135,3.074869487230305,3.074869487230305,1.5876784517360703,6.41211042115932,3.251931065347729,1.3926677264943805,1.3926677264943805,0.7316002844726813,-0.5800000000000001,9.50756567425569,3.429440078570887,1.9683205834190989,2.7171355644114423,6.476972362889683
190.980777112,191.63899999999998,3.0,2.0,1.0,1.0,2.0,11.0,17.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.83533593580641,60.16,0.9874,42.82520000000001,7.061886217295126,4.707793131442101,2.323378169252997,2.323378169252997,1.2657031763063813,5.489460690348945,2.783509180511313,1.1421706205019437,1.1421706205019437,0.6242751926627849,-0.5800000000000001,8.515969289827256,2.808706364466785,2.181172260998148,2.1744415585401367,6.309918278226516
288.208930136,288.43100000000004,2.0,1.0,0.0,1.0,2.0,21.0,49.0,2.0,0.0,0.8421052631578947,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,127.55103729290713,37.3,3.8792000000000035,82.71680000000005,13.399067481404334,8.869572098848373,7.911977548938119,7.911977548938119,6.531778952076965,13.399067481404334,8.869572098848373,7.911977548938119,7.911977548938119,6.531778952076965,-0.6300000000000001,13.993709230808948,4.439809487732747,1.7756589628303494,2.9585430005485187,6.040254711277414
264.183778008,264.36899999999997,4.0,1.0,8.0,1.0,4.0,19.0,43.0,4.0,0.0,0.5333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.3006453324285,41.57,2.617000000000001,78.67620000000005,12.108645159118927,6.789605758901171,2.751713780758142,2.751713780758142,1.5379131400375297,12.108645159118927,6.789605758901171,2.751713780758142,2.751713780758142,1.5379131400375297,-1.55,15.507306590257876,8.534307301090518,6.246200235496293,6.965479992288784,2.70805020110221
312.97618746399996,313.38900000000007,7.0,2.0,2.0,1.0,8.0,19.0,26.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,115.44270041605962,102.71,0.7321,71.7792,11.743687192240083,8.156643470497727,5.178087664735062,5.178087664735062,3.6450302864641806,9.294197449456904,5.020430749514465,2.1523429900791586,2.1523429900791586,1.3623221595460135,-1.62,12.41566601807743,4.488724856473309,2.4241141991451287,2.9331846665797445,4.3694478524670215
346.937215112,347.83400000000006,7.0,2.0,2.0,1.0,8.0,20.0,26.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,125.74596664294128,102.71,1.3854999999999997,76.78920000000001,12.80023034207814,8.634273782534525,5.465191886547912,5.465191886547912,3.872697961386075,9.594811653276505,5.1200965885420375,2.20435010910427,2.20435010910427,1.405461455240279,-1.33,13.643835157913811,4.895664212236049,2.601052941239642,3.3397817750123315,4.867534450455582
346.93721511199993,347.83400000000006,7.0,2.0,2.0,1.0,8.0,20.0,26.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,125.7459666429413,102.71,1.3855000000000004,76.7892,12.80023034207814,8.634273782534526,5.500496582188735,5.500496582188735,3.78411521878965,9.594811653276505,5.1200965885420375,2.2227755921933454,2.2227755921933454,1.3754189342017407,-1.33,13.643835157913811,4.895664212236049,2.601052941239642,3.3397817750123315,4.418840607796598
342.986752148,343.4150000000001,8.0,2.0,3.0,1.0,9.0,21.0,30.0,11.0,0.0,0.1,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,126.9211877599631,111.93999999999998,0.7406999999999999,78.33120000000001,13.07458521351432,8.67969950871648,5.475215439604677,5.475215439604677,3.8225290541601322,10.625095470731141,5.54348678773322,2.449470764948772,2.449470764948772,1.5398209272419652,-1.8200000000000003,14.13137590382717,5.181650520050941,2.8065851881397745,3.486850061957209,3.80666248977032
342.986752148,343.4150000000001,8.0,2.0,3.0,1.0,9.0,21.0,30.0,11.0,0.0,0.1,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,126.9211877599631,111.93999999999998,0.7406999999999999,78.33120000000001,13.07458521351432,8.67969950871648,5.494317133062978,5.494317133062978,3.7992571275169675,10.625095470731141,5.54348678773322,2.4685724584070727,2.4685724584070727,1.5165490005988005,-1.8200000000000003,14.13137590382717,5.181650520050941,2.8065851881397745,3.486850061957209,3.951243718581428
328.97110208399994,329.3880000000001,8.0,3.0,2.0,2.0,9.0,20.0,27.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120.23693416825564,122.94,0.43769999999999937,73.444,12.113550518550415,8.290933870770663,5.271603307679492,5.271603307679492,3.6696685815350296,9.664060775767236,5.154721149787403,2.245858633023589,2.245858633023589,1.3869604546168621,-1.82,13.176433486137155,4.626238008032154,2.428808069248069,3.0478658701937666,1.252762968495368
