exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,Melanin binding Fraction unbound (%)
225.086189212,225.20799999999994,8.0,4.0,4.0,3.0,7.0,16.0,27.0,8.0,0.0,0.375,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,89.69516162363054,119.05,-1.3318,55.59890000000001,8.381371844866454,4.613430051544285,1.9591029223873329,1.9591029223873329,1.2927101546233117,8.381371844866454,4.613430051544285,1.9591029223873329,1.9591029223873329,1.2927101546233117,-1.9300000000000002,10.5832429991603,4.289049481140565,1.8772308667996151,2.8370033058958124,81.9
472.23352213600003,472.5530000000002,10.0,2.0,4.0,1.0,10.0,35.0,63.0,10.0,0.0,0.4,5.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,201.58460935295716,116.85999999999999,1.1474200000000006,135.48339999999993,20.153734051684474,11.711548285418132,6.506588176047468,6.506588176047468,4.747487349381101,20.153734051684474,11.711548285418132,6.506588176047468,6.506588176047468,4.747487349381101,-3.9699999999999993,22.804059492581253,8.999246537447146,3.976323702614706,5.863410097952873,1.2
278.141913196,278.355,3.0,2.0,2.0,2.0,2.0,21.0,39.0,3.0,0.0,0.2222222222222222,4.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,123.49666699548264,37.05,3.411600000000001,84.84240000000004,12.018614275543593,7.3342220949023265,4.2859060219489855,4.2859060219489855,3.2857906690245287,12.018614275543593,7.3342220949023265,4.2859060219489855,4.2859060219489855,3.2857906690245287,-2.26,12.478366527896386,4.934585496764234,2.0118039449835754,2.9321698329459895,2.0
365.156183356,365.5020000000002,4.0,1.0,4.0,1.0,5.0,26.0,49.0,5.0,0.0,0.38095238095238093,4.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,158.59090484750874,50.5,4.007780000000004,105.02580000000005,15.582148875214266,10.050555940285976,6.298232103722392,6.298232103722392,4.811234727899055,14.76565229428654,9.23405935935825,5.167963724888467,5.167963724888467,3.73512790653632,-1.9999999999999993,17.415637860082306,7.7091412742382275,3.58801775147929,5.163831255551785,0.3
277.038193464,277.26900000000006,9.0,1.0,3.0,1.0,8.0,19.0,26.0,10.0,0.0,0.1111111111111111,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,109.81807397196779,115.42000000000002,1.1457999999999995,65.6691,10.456573832887942,5.958417208392151,3.5707780130698428,3.5707780130698428,2.4970868154164476,9.640077251960216,5.141920627464425,2.41476363412136,2.41476363412136,1.5583854916899136,-2.49,11.591985557764996,4.314847409507476,1.9088660706621567,2.6325078344721247,73.3
476.98166667999993,479.14700000000005,7.0,1.0,6.0,1.0,5.0,29.0,44.0,11.0,0.0,0.16666666666666666,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,186.01288702810757,90.42,6.107100000000004,111.46190000000003,17.736889183771503,9.566213822131738,4.8497130058333955,4.8497130058333955,3.412008337033824,14.713173399697686,8.054355930094832,3.700343453711726,3.700343453711726,2.4187707915108905,-2.0299999999999994,23.250907745146524,11.231243420970035,7.71782783700653,9.004710504974417,0.7
285.136493468,285.34299999999996,4.0,3.0,3.0,3.0,4.0,21.0,40.0,4.0,0.0,0.29411764705882354,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,123.55925166152177,61.72,2.535900000000001,80.91730000000003,11.965447709350805,7.081912506054234,3.977358815073182,3.977358815073182,2.8719092853791217,11.965447709350805,7.081912506054234,3.977358815073182,3.977358815073182,2.8719092853791217,-2.1999999999999997,13.768010355029586,5.657258682041349,2.8052271407287703,3.709009338829825,1.5
317.154642068,317.85999999999996,2.0,0.0,4.0,0.0,2.0,22.0,46.0,3.0,0.0,0.3684210526315789,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,139.06373312506773,12.47,4.308600000000005,93.57900000000006,13.836837112377115,7.766287703487936,4.198767498474104,4.198767498474104,2.918678033731247,13.020340531449389,7.766287703487936,4.198767498474104,4.198767498474104,2.918678033731247,-1.3499999999999996,17.010981177562417,8.326662737680802,4.3253404592314375,6.438395595572658,32.7
228.002719496,228.298,4.0,1.0,1.0,1.0,5.0,14.0,22.0,6.0,1.0,0.25,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,87.52549685579882,51.1,1.5714999999999995,58.36270000000001,9.29055018840049,6.1608298329409354,4.004766528807087,4.004766528807087,3.5771010772846625,7.657557026545037,3.9478436883527066,1.9317767493369988,1.9317767493369988,1.2755520769903157,-1.1400000000000001,9.416378045555534,3.2145170331544173,1.267625600972794,2.1620791155756836,11.4
381.13430054799994,381.85600000000005,6.0,1.0,8.0,1.0,6.0,26.0,50.0,7.0,0.0,0.3684210526315789,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,159.3079425564999,58.18000000000001,2.9340000000000015,101.51170000000005,15.713215601974104,8.245140403832718,3.847380241670524,3.847380241670524,2.611423320803691,14.896719021046378,8.245140403832718,3.847380241670524,3.847380241670524,2.611423320803691,-2.31,20.00745609921061,9.989040150337427,4.864256231388662,7.68674162619724,2.2
240.048797096,240.759,2.0,0.0,1.0,0.0,3.0,15.0,28.0,4.0,0.0,0.36363636363636365,3.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.17581081839968,15.6,2.567900000000001,67.89700000000002,9.929338892480493,5.923872884342664,3.715337768353139,3.715337768353139,3.004795491001561,8.29634573062504,4.938274324689175,2.706832402452885,2.706832402452885,1.9603749702858357,-0.6699999999999999,10.834831944662522,4.4542500311559765,1.9891422552240403,3.2174033684721874,34.0
347.165206752,347.886,3.0,0.0,8.0,0.0,3.0,24.0,50.0,4.0,0.0,0.35,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.59602849303732,29.54,4.125300000000005,100.72200000000005,15.167735133651352,8.247212894312641,4.047776930868338,4.047776930868338,2.654096753961272,14.351238552723625,8.247212894312641,4.047776930868338,4.047776930868338,2.654096753961272,-1.8399999999999994,20.205126353790615,10.845046487603305,5.660107682668962,9.130230608114912,30.9
299.03022584,300.25399999999996,1.0,0.0,2.0,0.0,2.0,18.0,33.0,4.0,0.0,0.2857142857142857,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,122.79899104966414,3.24,4.381600000000003,80.83700000000003,12.323125497194766,7.095128133344291,4.630239604504096,4.630239604504096,3.394561822777054,9.934203389320858,5.837510849080168,3.238515714192718,3.238515714192718,2.3093887393949606,-0.5399999999999998,13.881631380079797,6.0692078574342085,2.8873152337912114,4.680583680332532,25.4
